name,address,description,rating,reviews__0__username,reviews__0__review,reviews__0__rating,reviews__|,reviews__|__username,reviews__|__review,reviews__|__rating,,latitude,longitute
Crescent Lounge,"1413 E Olive Way, Seattle, WA",Stiff cocktails to boost your karaoke-confidence and always open for Seahawks games.,"73% love it,   22 Ratings",,,,0,Jayjo,"Went there for karaoke on a Friday night. Took about two hours for my turn, while I was waiting I saw the same people sing twice. Good people watching, drinks were reasonable and the service was good. A healthy mix of patrons.",Hates it,,47.61743,-122.32631
,,,,,,,1,jernben,Homophobic and alcoholic\n86ed because I drew a dick on the bathroom wall of it's neighbor str8 bar. The bathroom always had great graffiti..but the bartender was offended I drew a dick... so when Crescent found out.. they banned me...lol..go figure.. Welcome to Amarillo,Hates it,,,
,,,,,,,2,joerocker,"It's just not the same anymore\nI have gone to this place since 2007. The crowd is definitely unpredictable . The music is okay but some of the staff could use some ""polishing"" on customer service. A couple of the senior staff are a bit pretentious and the day crowd is really kinda scary in a ""fondling"" way but for a wonderful time check out the weekend evening karaoke. You won't forget this place!",Hates it,,,
,,,,,,,3,frenchboy,"very bad experience !\nafter i made some photos visiting seattle during the afternoon in the ave. and belltown, i stopped at this bar around 4pm to have a diet coke. The very very rude lesbian butch bartender told me "" french ID are not valid in Washington state, l ask you to leave the place now!"" just for a diet coke @ 4pm??? WTF??? Sometimes americans needs to learn they're not alone in the entire universe! When you're traveling, you let your passport at your hotel to avoid big big problems by loosing it or being stolen. What is wrong with Seattle ?? i had the same problem in cc attle's, but never been carded in other bars. I asked about that to a policeman in the street, and he told me they have no right to refuse me the right to drink in a bar with a french official ID...",Hates it,,,
,,,,,,,4,tarantino,"sometimes dives are just dives.\nwe went there because we love karaoke bars, but the local singers are putrid and if you are not a local you have to listen to them three songs to one. bring earplugs.",Hates it,,,
,,,,,,,5,quantum_666,"Don't forget your Tetanus Shot!\nThis place is the filthiest hole I have ever had the displeasure of crawling into. The drinks are strong, but no stronger than those most other local gay bars. Crowd is realy more of the Straight Indy/Punk group.",Hates it,,,
,,,,,,,6,cityboi,"meow *****\nIf you are a cat that likes to walk between both worlds then consider this place the creme de la creme of alley joints. Locals. Regulars. Neighborhood bar. Great entertainment even if your just sittin' there listening to the juke OR evesdropping on a slurred conversation. The karaoke is the ultimate high in a fabulous, low-life trashy way--the best, really, of its type. Strong drinks & friendly staff. You've got to pop in this place if you're bar hopping on the hill. 5 stars and a HUG!",Loves it,,,
,,,,,,,7,allabout,"FOLKS DON""T EVEN GO TO THIS PLACE\nI don't get it???",Hates it,,,
,,,,,,,8,angel1234,"KARAOKE MADNESS!\nBest karaoke bar ever, busted my karaoke virgin cherry and I love it! This place ROCKS, especially Cardinal Synn and Terra Hymen hosted nights!!",Loves it,,,
Diesel,"1413 14th Ave, Seattle, WA 98122, Near: at Madison St","Bears, bikers, buddies, bubbas, blue collars and badasses banter between beverages!","98% love it,   50 Ratings",,,,0,pecsz,"Wow\nEnded up here on my first night in town. It was totally pumping. Wall-to-wall bears, music, stiff drinks and the bar food was pretty good.",Loves it,,47.61389,-122.31423
,,,,,,,1,PupMufasa,Very Happy pup in a kilt.\nI walked in and was picked up off the floor by a very big man... That does not happen very often as I am solid and big myself. He carried me around like a little boy ( boy I am ) and to my husbears amusement didn't put me down for 30 min . I have never had such a great time... He was one of the partners owning the bar.... Great place Great people and this boys favorite hideout....,Loves it,,,
,,,,,,,2,MisterAlix1,Great bar and casual crowd!\nFriendly bar with great value. The bar food is good too.,Loves it,,,
,,,,,,,3,garamond,Amazing pours!,None,,,
,,,,,,,4,LubeGuy2010,"Top Of My List!\nI used to go here all the time ""Back In The Day"" when it was the Sea Wolf. That was many years ago, but the atmosphere is still the same, even with the complete remodel and addition of Food Menu! The Pork Sliders are the Bomb Diggity!",Loves it,,,
,,,,,,,5,rusty97015,"Comfortable and friendly\nThis is the type of place you go when you don't want a bunch of twinks... no offense to twinks, of course. They have their own venue and that's great. But, the crowd at Diesel is more mature and comfortable; less show, more grow. The bar tenders are extremely easy to talk to and very friendly. The ""doorman"" on the night was adorable and easy on the eyes. All in all, it felt like the neighborhood bar that makes you fell welcomed. No dance floor that I noticed, just a bunch of relaxing and enjoying each other.",Loves it,,,
